# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.066700000000000	15.666829071506174	-2.022497153166612	4.344796941934869e-01	3.921863730932370e+02
0.066866666666667	15.543251331248026	-2.008824233079259	4.372323434965823e-01	3.929927579275087e+02
0.067033333333333	15.421020506557551	-1.995293877942590	4.399941914189847e-01	3.938009088854182e+02
0.067200000000000	15.300117757190512	-1.981904140242056	4.427652417489739e-01	3.946108245666580e+02
0.067366666666667	15.180524562908686	-1.968653105017458	4.455454981873392e-01	3.954225035143384e+02
0.067533333333333	15.062222716611380	-1.955538889208891	4.483349643710399e-01	3.962359442373039e+02
0.067700000000000	14.945194318709823	-1.942559641047866	4.511336438419872e-01	3.970511451835899e+02
0.067866666666667	14.829421770472565	-1.929713539429770	4.539415400749093e-01	3.978681047663187e+02
0.068033333333333	14.714887768665624	-1.916998793332333	4.567586564459070e-01	3.986868213371836e+02
0.068200000000000	14.601575299259038	-1.904413641217650	4.595849962562785e-01	3.995072932086252e+02
0.068366666666667	14.489467631966340	-1.891956350466810	4.624205627199363e-01	4.003295186439415e+02
0.068533333333333	14.378548314924128	-1.879625216827602	4.652653589491637e-01	4.011534958462030e+02
0.068700000000000	14.268801168758029	-1.867418563853923	4.681193879809307e-01	4.019792229822629e+02
0.068866666666667	14.160210281732744	-1.855334742384214	4.709826527504730e-01	4.028066981610784e+02
0.069033333333333	14.052760004553855	-1.843372130018633	4.738551560898044e-01	4.036359194337892e+02
0.069200000000000	13.946434945023445	-1.831529130600344	4.767369007415999e-01	4.044668848068306e+02
0.069366666666667	13.841219963157605	-1.819804173717835	4.796278893535530e-01	4.052995922382285e+02
0.069533333333333	13.737100166420909	-1.808195714218322	4.825281244719061e-01	4.061340396332840e+02
